Nombre,Equipo,Posición,Temporada,Valor (€),Fin de contrato,Edad,Altura (cm),Lado,Pie bueno,GBE,Partidos,Minutos,Tarjetas Amarillas,Tarjetas Rojas,Distancia Media de Pases,Pases de la Muerte,Pases en Profundidad,% Pases Largos,Pases Largos Recibidos,Pases Largos Completados,% Pases al Área en Jugada,Pases,% Pases Último ⅓,% Pases hacia delante,% Pases en Juego en el Área Rival en su Equipo,Pases a Campo Contrario,Pases Recibidos Último ⅓,Pases Completados,% Contribución de Pase,Pases al Último ⅓,% Pases al Último ⅓,% Pases en Campo Contrario,% Pases en Campo Propio,% Pases,% Pases Adelante Completados,Pases Progresivos Completados,% Pases Progresivos,Pases Cortos Completados,% Paradas Atrapadas,Precisión en Centros,% Pases con la Mano,% Paradas Dentro del Área,% Paradas Fuera del Área,% Paradas,Remates por Gol,xG Recibido,Goles Evitados,xG Recibidos por Gol,xG Parados / xG Recibidos,Acciones Agresivas,Centros Interceptados,Remates Interceptados,Amplitud,Despejes,Acciones Defensivas,Distancia Defensiva,% Duelos Defensivos,Diferencia Distancia Defensiva con el Equipo,Duelos Defensivos,Duelos Perdidos,% Duelos Exitosos,Duelos,Faltas,% Faltas en Campo Propio,% Acciones Defensivas Altas,Presión Individual,Presión Individual Campo Rival,Intercepciones,Recuperaciones Rápidas,% Recuperaciones Rápidas,Recuperaciones,Recuperaciones en Campo Contrario,Tackles Intentados,Tackles con Éxito,Tackles/Fue Regateado,Tackles/Fue Regateado Último ⅓,Tackles/Fue Regateado ⅓,% Duelos por Bajo,Tackles/Fue Regateado ⅔,Distancia Media Remates,Finalización,Finalizacion xG a Puerta,Goles,Goles Fuera del Área,Remate de Cabeza por Centro,Remate de Cabeza por Tiro,Remates de Cabeza,Goles sin Penaltis,Fueras de Juego,% Remates a Puerta,% Remates a Puerta Fuera del Área,Remates,Tiros a puerta,Remates Fuera del Área,Remates por Goles sin Penaltis,Goles Esperados,Construcción en su Equipo,Eficiencia xG,xG a Puerta,% xG en Juego en su Equipo,xG por Goles sin Penaltis,xG por Remate,Pérdidas,Pérdidas en Campo Propio,% Retención del Balón,% Retención del Balón en Campo Rival,Regates Intentados,Regates Intentados Último ⅓,% Regates Completados Último ⅓,Regates Intentados Campo Contrario,% Regates Completados Campo Contrario,Regates Intentados Campo Propio,% Regates Completados Campo Propio,Regates Completados Último ⅓,Regates Completados Campo Contrario,Regates Completados Campo Propio,Faltas Recibidas,Regates Completados,% Regates Completados,Toques,Toques en Área Rival,% Toques de Balón en el Área Rival en su Equipo,Asistencias,Progresión de Balón,Progresión de Balón con Conducción,Prog. de Balón Último ⅓,% Progresión de Balón en Campo Rival en su Equipo,Progresión de Balón con Pase,Ocasiones Creadas,Ocasiones Creadas en Jugada,Entradas al Área,Pases Clave en Juego,Pases Completados al Área en Juego,Pases por cada Balón Largo,Pases Progresivos Recibidos,Pases Progresivos Recibidos Último ⅓,Pases Progresivos Recibidos en el Área,Pases Progresivos Recibidos en Campo Rival,Contribución Goleadora,Pases entre Líneas,Toques por Remate,xA de Centros,Asistencias Esperadas,xA en Jugada,xA en Jugada en su Equipo,xA a Balón Parado,Construcción xG,Construcción xG 5 pases,Construcción xG Último ⅓,Participación xG,Participación xG Último ⅓,Peligro Esperado (xT),xT Regates,xT en Juego,xT en Juego en su Equipo,xT Pases,xT Pases por 100 Pases,Duelos Aéreos Defensivos,% Duelos Aéreos,Eficiencia Aérea,Duelos Aéreos Ofensivos,% Duelos Aéreos Ofensivos,Duelos Aéreos,% Duelos Aéreos Ganados Área Rival,% Duelos Aéreos Ganados Área Propia,Duelos Aéreos Totales Campo Rival,Duelos Aéreos Ganados en AR,% Duelos Aéreos Ganados Campo Rival,Duelos Aéreos Ganados en AP,Duelos Aéreos Ganados,% Duelos Aéreos Ganados,Duelos Aéreos Defensivos Ganados,Duelos Aéreos Ofensivos Ganados,Centros Completados,Centros Completados en Jugada,Eficiencia de Centros,Centros,Centros al Área Pequeña,% Centros Completados,% Centros Completados en Jugada,Conducción y Asistencia,Progreso Medio de Conducciones,Distancia Media de Conducción,Conducciones,% Conducciones,Conducción y Ocasión,Profundidad,Profundidad en el Último ⅓,Conducción y Gol,Conducciones Progresivas,Conducción y Tiro,Pérdidas de Balón,Pérdidas Peligrosas y Gol,Pérdidas Peligrosas,Pérdidas Peligrosas y Tiro,Secuencia acabada en gol,Secuencia acabada en tiro,Puntuación
"Wilson Isidor","Sunderland","FW","ENG II 2024",4000,"Jun 26",24,186,"Centre","right",23,26,2218,6,,"14.3","0.12","0.16","50","0.73","0.24","63.6","7.55","44.6","19.4","5.47","3.33","4.14","5.4","-7.36","2.23","66.3","65.6","83.6","71.5","58.3","0.85","15.6","2.11","-","0.1","100","-","100","100","1","-","-","-","-","0.24","0.04","0.04","1.5","0.24","2.11","63.3","28.8","24","2.39","4.46","58.2","10.7","0.93","17.4","75","27.4","24.3","0.32","0.12","11.5","0.6","0.45","0.71","0.56","77.8","66.7","71.4","34.1","100","13.8","18.4","50","0.36","0.04","5.51","14.3","0.28","0.36","0.73","46.9","75","1.99","0.93","0.33","5.44","0.3","7","0.07","0.31","27.1","0.82","0.15","3.17","0.65","82.7","82.7","1.83","1.14","46.4","1.34","45.5","0.49","58.3","0.53","0.61","0.28","0.89","0.89","48.9","17.2","3.94","15.1","-","2.39","1.38","1.54","2.47","1.01","0.45","0.36","0.89","0.36","0.28","22.2","4.91","2.44","0.73","3.94","0.36","0.04","8.63","-","0.04","0.04","8.98","0","0.24","0.08","0.16","0.5","0.42","0.07","0.05","0.07","4.83","0.03","0.34","0.73","16.7","0.78","2.64","30.8","3.37","28.6","50","2.39","0.16","23.7","0.12","0.93","27.7","0.12","0.81","-","-","0.45","0.45","-","-","-","-","19.7","25.4","2.19","31.5","0.08","5.88","10.2","0.08","0.93","0.65","0.08","-","0.12","0.04","0.57","3.94",41
"Jerry Yates","Derby County","FW","ENG II 2024",2800,"Jun 26",28,175,"Left/Centre","right",17,26,2203,,,"14.7","0.29","0.29","27.8","1.02","0.2","38.1","12.7","42.3","21.6","16.3","6.46","5.07","9.64","1.51","3.6","67.2","72.2","85.7","76.1","59.7","1.23","16.4","4.66","-","0.15","100","-","100","100","1","-","-","-","-","0.29","-","0.04","2.12","0.11","2.49","56.3","33.3","17.6","2.7","5.35","51.7","11.1","1.1","22.2","78.7","32.9","27.5","0.3","0.16","12.5","0.71","0.41","0.89","0.6","66.7","85.7","66.7","31.4","54.5","12.6","21.4","73.8","0.24","-","4.58","21.4","0.24","0.24","0.69","53.6","40","1.14","0.61","0.2","4.67","0.22","9.25","0.02","0.29","19.1","0.91","0.2","3.47","0.53","83.9","82.4","0.9","0.49","50","0.73","50","0.16","100","0.24","0.37","0.16","0.82","0.53","59.1","20.2","2.62","16.4","0.12","2.78","1.35","1.8","4.01","1.43","0.53","0.37","0.69","0.33","0.33","47.2","6","3.1","0.37","4.78","0.37","0.08","17.6","0","0.04","0.03","11.1","0.01","0.19","0.11","0.15","0.38","0.34","0.06","0.01","0.06","6.76","0.05","0.43","0.61","40","0.59","3.88","17.9","4.49","30","40","3.39","0.12","16.9","0.08","0.94","20.9","0.24","0.69","0.16","0.16","0.69","0.53","-","30.8","30.8","0.04","13","17.8","2.33","66.7","0.16","4.54","10.4","-","0.94","0.16","0.08","-","0.08","-","0.53","2.45",36
"Elijah Adebayo","Luton Town","FW","ENG II 2024",10000,,27,193,"Left/Centre/Right","right",18,29,2142,1,,"13.3","0.17","0.13","33.3","1.68","0.13","26.3","9.24","59.1","21.4","5.56","5.59","7.1","7.1","16.9","3.95","72.3","75.1","83.7","76.8","53.2","0.71","13.2","3.7","-","0.64","100","100","100","100","3","-","-","-","-","0.25","0.08","0.13","3.23","0.15","4.41","57.1","30.2","16.7","4.87","8.78","52.3","18.4","1.98","17","69.5","47.1","44.6","0.89","0.21","9.62","1.27","0.76","1.12","0.5","44.8","50","50","17.1","33.3","11","9.62","22.6","0.21","-","13.8","34.6","0.76","0.21","0.71","55.8","100","2.19","1.22","0.17","10.4","0.36","8.5","-0.15","0.47","32","1.7","0.16","3.99","0.71","83.1","84","3.15","2.4","47.4","2.73","47.7","0.42","30","1.13","1.3","0.13","0.92","1.43","45.3","22.7","5.38","26.2","-","2.27","1.43","1.85","3.2","0.84","0.38","0.29","0.92","0.29","0.21","56.3","6.26","4.12","1.09","5.42","0.21","-","10.4","0.01","0.04","0.02","8.07","0.01","0.22","0.07","0.19","0.47","0.45","0.07","0.04","0.07","6.14","0.04","0.44","1.68","55","2.9","5.34","31.5","7.02","42.5","75","5.55","0.71","30.3","0.63","2.6","37.1","0.92","1.68","0.08","0.08","0.8","0.71","0.08","11.8","11.8","-","12.8","17.2","2.9","49.3","0.17","9.37","16.7","0.04","1.39","0.29","0.13","-","-","-","0.29","3.49",43
"Josh Maja","West Brom","FW","ENG II 2024",7000,"Jun 26",26,181,"Centre","right",15,26,2110,2,,"14.1","0.13","0.3","52.6","1.24","0.43","50","18.7","37.1","23.9","8.42","8.4","5.97","13.8","-10.61","4.82","69.3","70.9","78.9","73.8","57.1","2.17","21.4","6.87","-","0.02","100","-","-","-","-","-","-","-","-","0.34","0.04","-","1.28","0.14","1.75","55.8","42.9","20.2","2.09","3.46","67.5","10.6","0.72","23.5","68.3","28.6","24.5","0.09","0.13","13.6","0.73","0.47","0.91","0.73","80","83.3","80","43.2","77.8","13.3","28.6","18.4","0.51","-","8.85","23.8","0.43","0.51","0.21","45.2","12.5","1.79","0.81","0.34","3.5","0.27","7.79","0.24","0.34","27.3","0.53","0.15","5.46","1.71","82.1","81.5","0.94","0.47","45.5","0.68","62.5","0.26","50","0.21","0.43","0.13","1.49","0.56","59.1","27.6","3.03","13.5","0.04","3.92","1.66","1.88","3.46","2.26","0.6","0.51","0.6","0.47","0.34","32.4","9.51","2.6","0.56","5.89","0.56","0.13","15.4","-","0.09","0.06","14.2","0.04","0.29","0.19","0.15","0.54","0.42","0.08","0.01","0.07","4.95","0.06","0.33","0.51","41.7","1.5","2.99","37.1","3.5","58.8","100","2.56","0.43","40","0.04","1.32","37.8","0.21","1.11","-","-","0.21","0.21","-","-","-","-","11","16.2","3.67","64","0.17","4.56","11.1","-","0.85","0.3","0.09","-","0.3","0.04","0.77","4.01",52
"Carlton Morris","Luton Town","FW","ENG II 2024",8000,,29,185,"Left/Right","right",22,26,2088,6,,"13.9","0.39","0.09","36.8","4.05","0.3","25","19.4","45.7","23.6","9.57","8.79","10.9","13.6","-8.87","5.04","57.1","64","85.4","70.2","49.1","1.64","18.5","6.51","-","0.44","50","100","100","100","3","-","-","-","-","0.34","0.04","0.13","3.49","0.16","3.23","55.5","32.1","15.1","3.62","8.92","60","22.3","1.42","15.2","69.3","48.3","43.2","0.48","0.26","16.7","0.92","0.47","0.96","0.68","70.8","60","75","29.8","72.7","9.8","10","-22.57","0.26","-","12.1","42.5","0.73","0.17","0.73","40","100","1.72","0.69","0.04","10","0.31","13","-0.14","0.15","23.5","1.78","0.18","6.94","1.34","80.4","79.4","1.85","1.47","61.8","1.59","59.5","0.26","66.7","0.91","0.95","0.17","2.33","1.12","60.5","32.9","4.61","22.3","0.04","3.53","1.64","2.28","4.81","1.9","0.6","0.17","0.86","0.17","0.39","45","13.7","6.59","1.55","10.4","0.3","-","19.1","0.03","0.06","0.02","5.99","0.04","0.35","0.18","0.29","0.58","0.52","0.1","0.01","0.1","7.93","0.08","0.43","1.16","37","7.26","10.6","46.2","11.8","43.8","60","10","1.21","44.2","0.26","5.34","45.3","0.43","4.91","0.22","0.22","1.47","1.25","0.34","17.2","17.2","-","10.9","15.9","3.36","51.3","0.04","7.76","17.9","-","0.86","0.22","0.43","-","0.17","-","0.39","3.58",55
"Vakoun Bayo","Watford","FW","ENG II 2024",4500,"Jun 28",28,184,"Left/Centre","right",17,28,2058,4,,"12.9","0.13","0.26","63.6","1.22","0.31","87.5","12.2","41.4","20.9","6.86","6.38","5.47","9.14","-4.76","3.81","75.7","76.8","71.6","75.2","63.8","1.18","14.4","5.29","-","0.25","33.3","-","100","100","1","-","-","-","-","0.48","0.04","0.04","1.88","0.23","2.8","51.8","28.2","15.3","3.72","6.38","52.8","13.5","1.62","27","70.3","27.9","23.7","0.09","0.04","4.17","0.69","0.31","1.01","0.92","90.9","100","81.8","33.9","100","10.8","21.9","42.9","0.44","-","17.9","36.6","0.66","0.39","0.7","48.8","-","1.79","0.88","0.13","4.56","0.38","10.1","0.02","0.43","43.7","0.95","0.21","3.94","1.44","82.8","85.5","1.01","0.57","38.5","0.79","38.9","0.22","20","0.22","0.31","0.04","0.61","0.35","34.8","21.1","3.46","16.3","-","2.84","1.44","1.92","3.45","1.4","0.26","0.22","0.7","0.22","0.31","29.9","6.87","2.8","0.83","5.29","0.44","-","11.8","0.01","0.02","0.02","4.28","0","0.29","0.1","0.23","0.54","0.49","0.06","0.02","0.06","4.17","0.04","0.32","1.14","15.4","1.94","4.85","36.9","5.99","42.1","40","4.55","0.35","33.6","0.17","1.97","32.9","0.17","1.79","0.04","0.04","0.31","0.26","-","16.7","16.7","-","13.3","20.9","2.54","65.5","0.17","4.9","11","0.04","1.05","0.26","0.26","-","0.22","-","0.57","3.41",40
"Emil Riis","Preston North End","FW","ENG II 2024",2500,"Jun 25",26,190,"Centre/Right","right",17,29,2032,2,,"13.6","0.22","0.18","30","2.08","0.13","53.3","10.6","44.6","17.9","10","4.38","5.27","7.09","-18.4","2.79","58.9","60.7","79.2","66.7","53.5","0.71","12.9","3.77","-","0.08","100","-","-","-","-","-","-","-","-","0.18","-","-","2.08","0.12","2.21","61.6","46.1","23.2","2.3","6.16","55.9","14","0.8","11.1","74","34.6","31.9","0.33","0.18","12.9","0.71","0.4","0.95","0.83","87","100","83.3","48.8","80","15.2","19.1","21.2","0.35","0.04","3.49","7.14","0.13","0.35","0.53","50","40","1.86","0.93","0.44","5.25","0.29","6.78","0.06","0.29","34.6","0.83","0.16","5.18","0.93","79","78.3","2.35","1.82","39","2.08","36.2","0.27","66.7","0.71","0.75","0.18","0.75","0.93","39.6","21.7","3.54","22.9","0.09","2.3","1.51","1.64","3.16","0.8","0.53","0.49","0.89","0.4","0.35","53.3","6.64","3.41","0.71","5.27","0.44","0.13","11.6","-","0.04","0.04","9.26","0","0.16","0.06","0.1","0.38","0.35","0.08","0.04","0.08","6.58","0.04","0.36","0.49","36.4","1.28","4.83","27.5","5.32","25","60","3.99","0.13","27.8","0.13","1.51","28.3","0.18","1.33","0.04","0.04","0.66","0.62","-","7.14","7.14","0.04","13.9","16.8","2.52","49.1","0.27","5.89","13.2","0.04","0.93","0.35","0.09","-","0.09","-","0.44","3.1",43
"Rubin Colwill","Cardiff","FW","ENG II 2024",1200,"Jun 27",22,189,"Centre/Right","right",17,27,2022,1,,"16.8","0.62","0.49","55.6","0.8","1.78","43.8","28.4","43.8","27.3","23.6","16","11.8","23.7","9.96","10.1","81.4","82","87.4","83.7","67.2","5.12","25.8","8.9","-","0.09","100","-","100","100","1","-","-","-","-","0.31","0.09","0.04","3.16","0.13","3.96","52.2","49.3","14.1","3.34","5.34","69.2","17.4","1.16","15.4","65.2","40.3","35.7","0.59","0.22","8.2","1.69","0.85","1.98","1.52","76.6","77.8","66.7","49.3","85","20","2.5","6.01","0.04","-","3.09","7.5","0.13","0.04","0.31","45","55","1.78","0.8","0.89","40","0.14","11.8","-0.1","0.19","18.2","3.15","0.08","6.94","1.6","86.5","85.6","4.32","2.89","53.8","3.47","51.3","0.85","42.1","1.56","1.78","0.36","0.8","2.14","49.5","47.7","3.38","18.7","0.18","8.9","3.38","6.37","11.3","5.52","1.16","0.89","1.56","0.76","0.94","13.3","9.84","4.54","0.53","6.86","0.22","0.27","26.8","0.02","0.15","0.12","33.5","0.03","0.3","0.2","0.18","0.49","0.41","0.19","0.01","0.18","14.2","0.17","0.62","0.09","50","0.55","2.05","28.3","2.14","33.3","100","1.51","0.09","29.4","0.04","0.62","29.2","0.04","0.58","0.49","0.45","3.07","2.58","0.31","19","18.2","0.09","12.9","16.5","6.59","64.2","0.4","7.52","24.1","-","1.91","0.36","0.04","-","0.27","0.09","0.36","4.99",50
"Thomas Cannon","Stoke City","FW","ENG II 2024",6000,"Jun 29",22,180,"Left/Centre","right",21,22,2022,3,,"14","-","0.22","46.7","2.31","0.31","72.7","7.75","37.4","17.8","8.25","3.38","4.76","5.96","-2.38","2.09","72.3","69.7","89.2","77","51.6","0.4","12.1","3.03","-","0.16","-","-","100","100","1","-","-","-","-","0.4","-","0.04","2.09","0.21","2.54","67.5","40.9","29.7","2.94","6.77","54.5","14.9","1.29","13.8","86","35.8","32","0.17","0.36","32","0.43","0.31","0.9","0.82","90.5","90.9","100","38","85.7","15.9","12.5","8.07","0.4","0.09","3.9","6.25","0.13","0.27","0.45","52.1","42.9","2.14","1.11","0.62","8","0.24","7.17","0.03","0.29","28","0.88","0.11","2.67","0.8","84.2","85.6","1.16","0.94","76.2","1.07","70.8","0.09","50","0.71","0.76","0.04","1.29","0.8","69.2","17.4","3.25","17.8","0.04","2","1.38","1.42","3","0.62","0.4","0.27","0.94","0.22","0.36","19.1","6.5","2.8","0.94","5.03","0.45","-","8.12","0","0.04","0.03","6.9","0.01","0.17","0.06","0.13","0.38","0.35","0.08","0.04","0.08","7.25","0.04","0.48","0.71","50","3.33","7.3","36","8.01","10","75","6.28","0.04","36.2","0.13","2.98","37.2","0.36","2.63","0.13","0.13","0.85","0.71","0.04","18.8","18.8","-","15.3","18.9","2.18","36.7","0.13","4.85","10.2","0.13","0.94","0.53","0.49","-","0.04","0.04","0.62","3.87",44
"Mark Harris","Oxford United","FW","ENG II 2024",700,"Jun 26",26,182,"Centre","right",17,29,1960,1,,"13.8","-","0.23","71.4","1.06","0.46","44.4","11.9","38.1","18.5","7.55","5.74","4.68","8.68","-11.26","3.21","70.7","73.1","71.9","72.7","45.8","0.96","16.1","4.64","-","0.07","100","-","-","-","-","-","-","-","-","0.23","-","-","2.34","0.17","2.66","57.1","28.6","22.3","2.89","4.68","55.8","10.6","1.42","19.4","75.9","33","27.8","0.21","0.05","4","0.84","0.51","0.84","0.67","80","66.7","66.7","31.4","100","16","17.9","3.8","0.23","0.05","3.75","10.7","0.14","0.23","0.96","53.6","54.5","1.29","0.69","0.51","5.6","0.19","11","0.04","0.22","34.7","0.82","0.15","3.72","1.38","82.3","84.1","0.69","0.37","62.5","0.51","72.7","0.18","-","0.23","0.37","-","1.1","0.37","53.3","19.7","1.7","11.6","0.09","2.48","1.47","1.29","3.44","1.01","0.6","0.51","0.32","0.41","0.18","18.9","5.1","1.97","0.23","3.63","0.32","-","15.3","-","0.03","0.03","8.66","0","0.23","0.14","0.15","0.36","0.31","0.04","0.01","0.04","4.31","0.03","0.27","0.55","16.7","0.46","2.94","21.9","3.49","25","25","2.2","0.09","18.8","0.05","0.73","21.1","0.09","0.64","-","-","0.14","0.14","-","-","-","-","15","17.7","2.07","53.3","0.14","3.08","8.68","-","1.01","0.18","0.09","-","0.23","-","0.41","2.8",35
