Nombre,Equipo,Posición,Liga,Fin de contrato,Lado,Pie bueno,Edad,Valor (€),Altura,GBE,Partidos,Minutos,Tarjetas Amarillas,Tarjetas Rojas,Distancia Media de Pases,Pases de la Muerte,Pases en Profundidad,% Pases Largos,Pases Largos Recibidos,Pases Largos Completados,% Pases al Área en Jugada,Pases,% Pases Último ⅓,% Pases hacia delante,% Pases en Juego en el Área Rival en su Equipo,Pases a Campo Contrario,Pases Recibidos Último ⅓,Pases Completados,% Contribución de Pase,Pases al Último ⅓ Completados,% Pases al Último ⅓,% Pases en Campo Contrario,% Pases en Campo Propio,% Pases,% Pases Adelante Completados,Pases Progresivos Completados,% Pases Progresivos,Pases Cortos Completados,% Paradas Atrapadas,Precisión en Centros (Interceptar),% Pases con la Mano,% Paradas Dentro del Área,% Paradas Fuera del Área,% Paradas,Remates por Gol,xG Recibido,Goles Evitados,xG Recibidos por Gol,xG Parados / xG Recibidos,Presión tras pérdida,Centros Interceptados,Remates Interceptados,Amplitud,Despejes,Acciones Defensivas,Distancia Defensiva,% Duelos Defensivos Ganados,Diferencia Distancia Defensiva con el Equipo,Duelos Defensivos,Duelos Perdidos,% Duelos Exitosos,Duelos,Faltas,% Faltas en Campo Propio,% Acciones Defensivas Altas,Presión Individual,Presión Individual Campo Rival,Intercepciones,Recuperaciones Rápidas,% Recuperaciones Rápidas,Recuperaciones,Recuperaciones en Campo Contrario,Tackles Intentados,Tackles con Éxito,Tackles/Fue Regateado,Tackles/Fue Regateado Último ⅓,Tackles/Fue Regateado ⅓,% Duelos por Bajo,Tackles/Fue Regateado ⅔,Distancia Media Remates,Finalización,Finalizacion xG a Puerta,Goles,Goles Fuera del Área,Remate de Cabeza por Centro,Remate de Cabeza por Tiro,Remates de Cabeza,Goles sin Penaltis,Fueras de Juego,% Remates a Puerta,% Remates a Puerta Fuera del Área,Remates,Tiros a puerta,Remates Fuera del Área,Remates por Goles sin Penaltis,xG,Construcción en su Equipo,Eficiencia xG,xG a Puerta,% xG en Juego en su Equipo,xG por Goles sin Penaltis,xG por Remate,Pérdidas,Pérdidas en Campo Propio,% Retención del Balón,% Retención del Balón en Campo Rival,Regates Intentados,Regates Intentados Último ⅓,% Regates Completados Último ⅓,Regates Intentados Campo Contrario,% Regates Completados Campo Contrario,Regates Intentados Campo Propio,% Regates Completados Campo Propio,Regates Completados Último ⅓,Regates Completados Campo Contrario,Regates Completados Campo Propio,Faltas Recibidas,Regates Completados,% Regates Completados,Toques,Toques en Área Rival,% Toques de Balón en el Área Rival en su Equipo,Asistencias,Progresión de Balón,Progresión de Balón con Conducción,Prog. de Balón Último ⅓,% Progr Balón Campo Rival en su Equipo,Progresión de Balón con Pase,Ocasiones Creadas,Ocasiones Creadas en Jugada,Entradas al Área,Pases Clave en Juego,Pases Completados al Área en Juego,Pases por cada Balón Largo,Pases Progresivos Recibidos,Pases Progresivos Recibidos Último ⅓,Pases Progresivos Recibidos en el Área,Pases Progresivos Recibidos en Campo Rival,Contribución Goleadora,Pases entre Líneas,Toques por Remate,xA de Centros,xA,xA en Jugada,xA en Jugada en su Equipo,xA a Balón Parado,Construcción xG,Construcción xG 5 pases,Construcción xG Último ⅓,Participación xG,Participación xG Último ⅓,Peligro Esperado (xT),xT Regates,xT en Juego,xT en Juego en su Equipo,xT Pases,xT Pases por 100 Pases,Duelos Aéreos Defensivos,% Duelos Aéreos Defensivos Ganados,Eficiencia Aérea,Duelos Aéreos Ofensivos,% Duelos Aéreos Ofensivos,Duelos Aéreos,% Duelos Aéreos Ganados Área Rival,% Duelos Aéreos Ganados Área Propia,Duelos Aéreos Totales Campo Rival,Duelos Aéreos Ganados en AR,% Duelos Aéreos Ganados Campo Rival,Duelos Aéreos Ganados en AP,Duelos Aéreos Ganados,% Duelos Aéreos Ganados,Duelos Aéreos Defensivos Ganados,Duelos Aéreos Ofensivos Ganados,Centros Completados,Centros Completados en Jugada,Eficiencia de Centros,Centros,Centros al Área Pequeña,% Centros Completados,% Centros Completados en Jugada,Conducción y Asistencia,Progreso Medio de Conducciones,Distancia Media de Conducción,Conducciones,% Conducciones,Conducción y Ocasión,Profundidad,Profundidad en el Último ⅓,Conducción y Gol,Conducciones Progresivas,Conducción y Tiro,Pérdidas de Balón,Pérdidas Peligrosas y Gol,Pérdidas Peligrosas,Pérdidas Peligrosas y Tiro,Secuencia acabada en gol,Secuencia acabada en tiro,Puntuación,Recuperaciones en Campo Propio,Faltas en Campo Propio,Faltas en Campo Rival,Centros en Jugada,Pases al Área en Juego,Pases Adelante,Pases Adelante Completados,Duelos Defensivos Ganados,Pases al Último ⅓,Pases Progresivos,Pases Largos,% Pases Largos del total,Pases Clave (Total),Ocasiones Creadas (Total),Duelos Aéreos Área Propia,Duelos Aéreos Área Rival,Pérdidas en Campo Rival,Fecha Ejecución,Rating,rank,Año fin contrato
Tommy Conway,Middlesbrough,FW,ENG II 2024,Jun 28,Left/Centre,right,"22,0","6 000,0","185,0","15,0","19,0","1 111,0","0,0","0,0","13,9","1,05","0,73","72,2","1,38","1,05","66,7","0,5119899032393773","0,8837209302325582","21,7","8,2","10,8","9,56","0,5570534424650939","27,9","8,02","83,9","86,4","86,8","1,0000000000000002","77,8","2,35","16,9","6,72","0,0","0,15","100,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,16","0,0","0,0","2,35","0,09","2,35","52,6","45,5","14,2","1,78","3,24","1,0","0,246885617214043","0,81","10,0","65,5","27,3","24,9","0,74","0,0","0,0","1,3","0,73","1,02","0,93","90,9","100,0","85,7","47,6","100,0","12,5","29,2","33,2","0,65","0,08","3,77","8,33","0,16","0,57","0,49","0,5454545454545455","33,3","0,6932515337423313","0,6721311475409835","0,24","3,43","0,6551724137931033","6,6","0,8833333333333333","0,37","27,6","0,53","0,47368421052631576","0,2310344827586207","0,16587677725118483","88,2","88,5","3,16","0,8028169014084506","0,8162729658792651","3,0","62,2","0,16","50,0","0,8230088495575222","1,86","0,08","0,3806451612903226","1,94","61,5","31,6","1,0","20,1","0,0","4,54","1,94","3,73","4,74","2,59","0,89","0,49","2,11","0,5970149253731343","0,81","13,8","8,18","5,91","0,9931506849315068","6,97","0,65","0,0","16,2","0,01","0,07","0,33333333333333337","5,89","0,03","0,31","0,17","0,28","0,55","0,53","0,17","0,04","0,15","7,37","0,13","0,75","0,08","0,0","0,02","1,13","7,14","1,22","0,0","0,0","0,0","0,0","0,04742352699650995","0,0","0,08","6,67","0,0","0,08","0,16","0,08","1,3","1,13","0,24","14,3","7,69","0,0","10,9","16,6","3,89","52,1","0,32","12,8","23,6","0,16","1,7","0,81","0,24","0,0","0,08","0,0","0,81","4,21","56,0","0,57","0,08","0,73","1,04","1,21","3,65","2,84","0,81","9,56","13,91","1,45","8,66","6,0","6,0","0,0","0,0","3,08",2025-01-31,"6,538055059208225","1,0","2 028,0"
Callum Robinson,Cardiff,FW,ENG II 2024,Jun 25,Centre,right,"29,0","1 800,0","178,0","15,0","23,0","1 514,0","1,0","1,0","15,7","0,18","0,36","40,0","0,95","0,71","40,6","0,6129575094657131","0,47545219638242897","23,2","17,8","9,04","7,73","0,5763119884448724","2,6","5,23","66,2","70,7","91,7","0,7016949152542373","62,7","2,56","20,4","6,78","0,0","0,06","100,0","100,0","0,0","100,0","1,0","0,0","0,0","0,0","0,0","0,18","0,0","0,06","1,43","0,11","1,13","63,5","31,6","25,5","1,13","3,57","0,8319088319088319","0,1845979614949037","0,42","0,0","84,2","32,4","28,4","0,17","0,06","10,0","0,45","0,36","0,39","0,28","71,4","66,7","100,0","35,7","66,7","13,6","28,2","11,6","0,65","0,06","6,58","12,8","0,3","0,65","0,89","0,6998284734133792","50,0","0,9263803680981595","1,0","0,48","3,54","0,7241379310344828","9,81","1,0","0,44","27,5","0,48","0,4210526315789474","0,5689655172413793","0,18483412322274884","83,8","82,1","2,97","0,6450704225352112","0,7362204724409449","2,67","53,3","0,3","40,0","0,6061946902654868","1,43","0,12","0,3838709677419355","1,55","52,0","32,0","0,5951417004048584","21,8","0,06","4,58","1,78","3,33","6,25","2,79","0,83","0,54","1,37","0,582089552238806","0,77","20,9","8,86","3,27","0,34246575342465746","6,66","0,71","0,18","13,8","0,01","0,09","0,5","12,2","0,03","0,36","0,08","0,3","0,62","0,56","0,12","0,03","0,12","8,45","0,09","0,48","0,3","20,0","0,14","1,6","14,8","1,9","20,0","0,0","0,052586938083121273","0,06","0,2691439129542188","0,0","0,3","15,6","0,06","0,24","0,24","0,24","1,55","1,31","0,3","18,2","18,2","0,06","10,8","15,6","3,57","51,7","0,36","7,43","16,9","0,18","1,37","0,42","0,06","0,0","0,12","0,0","0,89","4,28","58,0","0,09","0,0","0,0","1,32","1,9","4,45","2,79","0,36","7,9","12,55","1,78","9,24","8,0","9,0","0,0","0,3","5,0",2025-01-31,"6,448369334463715","2,0","2 025,0"
Emmanuel Latte Lath,Middlesbrough,FW,ENG II 2024,Jun 27,Centre,right,"26,0","10 000,0","176,0","17,0","29,0","1 935,0","3,0","0,0","12,4","0,14","0,56","42,9","1,67","0,14","66,7","0,29322675641565","0,6666666666666667","23,7","7,61","6,33","6,42","0,2888781896966779","9,74","4,14","73,5","73,5","87,5","0,6813559322033897","57,6","0,6","12,1","4,88","0,0","0,1","0,0","100,0","0,0","100,0","1,0","0,0","0,0","0,0","0,0","0,14","0,0","0,05","2,37","0,0","3,26","57,8","37,5","19,5","2,98","6,05","0,5726495726495726","0,38844847112117775","1,35","17,2","72,9","34,6","31,7","0,94","0,0","0,0","1,94","1,02","1,05","0,99","95,0","100,0","100,0","38,8","88,9","11,8","17,6","8,56","0,51","0,0","16,1","29,4","0,7","0,42","1,12","0,49571183533447694","50,0","0,9570552147239264","0,7950819672131147","0,28","5,67","0,8275862068965515","8,24","0,5333333333333333","0,33","29,8","0,85","0,47368421052631576","0,23965517241379308","0,018957345971563982","83,7","82,5","1,95","0,4957746478873239","0,6076115485564304","1,91","46,3","0,05","100,0","0,3893805309734513","0,88","0,05","0,35161290322580646","0,93","47,6","23,0","0,728744939271255","17,7","0,14","2,19","1,3","1,49","1,88","0,88","0,98","0,7","1,07","0,7611940298507462","0,65","64,0","6,33","3,4","0,7671232876712328","5,44","0,65","0,0","9,71","0,0","0,09","0,5833333333333335","12,3","0,01","0,33","0,11","0,27","0,57","0,54","0,12","0,04","0,12","6,54","0,08","0,73","0,7","33,3","1,74","4,7","32,7","5,39","40,6","66,7","0,3061916878710772","0,6","0,5113939642783822","0,09","1,77","32,8","0,23","1,53","0,0","0,0","0,33","0,33","0,05","0,0","0,0","0,09","11,7","17,9","3,12","52,2","0,42","7,67","14,9","0,14","0,98","0,42","0,09","0,0","0,0","0,0","0,74","4,46","56,0","0,92","0,23","1,12","0,0","0,97","2,75","1,58","1,12","5,63","4,96","0,33","2,81","13,0","15,0","0,13","1,48","3,44",2025-01-31,"6,344897051670045","3,0","2 027,0"
p75dc_ENG II 2024,,Delantero,ENG II 2024,,,,"28,0","4 500,0","186,0","17,0","26,0","1 848,0","3,0","0,0","15,0","0,35","0,35","62,5","1,87","0,63","57,1","0,5077829196466133","0,6847545219638242","25,6","10,0","7,78","7,1","0,42705825710158885","2,38","4,52","71,2","73,5","85,7","0,671186440677966","59,7","1,69","20,4","5,32","0,0","0,28","100,0","100,0","100,0","100,0","1,0","0,0","0,0","0,0","0,0","0,35","0,07","0,09","2,92","0,24","3,61","60,4","40,9","22,0","3,62","7,29","0,6381766381766383","0,5130237825594564","1,78","26,1","79,7","37,5","32,8","0,67","0,21","12,9","1,35","0,73","1,3","0,99","80,0","100,0","85,7","38,5","100,0","15,0","20,8","50,0","0,39","0,0","11,8","31,0","0,54","0,36","0,73","0,5454545454545455","50,0","0,7484662576687116","0,6557377049180326","0,44","10,0","0,689655172413793","10,4","0,5333333333333333","0,3","32,0","1,55","0,631578947368421","0,20344827586206893","0,1800947867298578","83,4","83,8","2,17","0,4619718309859154","0,7493438320209974","1,99","57,7","0,32","58,3","0,3893805309734513","0,95","0,15","0,3903225806451613","1,11","57,1","27,0","0,5485829959514171","20,9","0,12","3,53","1,66","2,49","4,33","1,98","0,67","0,49","1,05","0,4477611940298508","0,51","39,0","8,17","3,75","0,6643835616438356","5,89","0,45","0,09","17,3","0,01","0,07","0,41666666666666674","12,5","0,02","0,32","0,16","0,24","0,54","0,49","0,11","0,04","0,11","7,81","0,08","0,61","0,96","50,0","2,07","6,26","36,0","7,58","42,5","75,0","0,40966921119592875","0,52","0,5750359269143913","0,21","1,97","37,2","0,37","1,73","0,18","0,18","1,3","1,13","0,17","20,0","20,0","0,07","14,9","19,5","3,57","59,1","0,26","7,26","16,1","0,08","1,37","0,45","0,26","0,0","0,23","0,06","0,68","4,03","48,0","0,58","0,38","1,46","1,1","1,16","4,05","2,25","1,36","6,96","8,89","1,15","9,06","7,0","9,0","0,42","1,36","3,99",2025-01-31,"6,177311882310813","4,0",nan
Elijah Adebayo,Luton Town,FW,ENG II 2024,0,Left/Centre/Right,right,"27,0","10 000,0","193,0","18,0","29,0","2 142,0","1,0","0,0","13,3","0,17","0,13","33,3","1,68","0,13","26,3","0,19394194362641987","0,9379844961240311","21,4","5,56","5,59","7,1","0,2007703418391911","16,9","3,95","72,3","75,1","83,7","0,671186440677966","53,2","0,71","13,2","3,7","0,0","0,64","100,0","100,0","100,0","100,0","3,0","0,0","0,0","0,0","0,0","0,25","0,08","0,13","3,23","0,15","4,41","57,1","30,2","16,7","4,87","8,78","0,4273504273504274","0,6262740656851642","1,98","17,0","69,5","47,1","44,6","0,89","0,21","9,62","1,27","0,76","1,12","0,5","44,8","50,0","50,0","17,1","33,3","11,0","9,62","22,6","0,21","0,0","13,8","34,6","0,76","0,21","0,71","0,6449399656946827","100,0","0,8466257668711656","0,8770491803278687","0,17","10,4","0,8620689655172412","8,5","0,18333333333333332","0,47","32,0","1,7","0,5263157894736843","0,26206896551724146","0,15639810426540285","83,1","84,0","3,15","0,6338028169014084","0,6220472440944882","2,73","47,7","0,42","30,0","0,5","1,3","0,13","0,25806451612903225","1,43","45,3","22,7","0,7449392712550609","26,2","0,0","2,27","1,43","1,85","3,2","0,84","0,38","0,29","0,92","0,29850746268656714","0,21","56,3","6,26","4,12","0,684931506849315","5,42","0,21","0,0","10,4","0,01","0,04","0,16666666666666669","8,07","0,01","0,22","0,07","0,19","0,47","0,45","0,07","0,04","0,07","6,14","0,04","0,44","1,68","55,0","2,9","5,34","31,5","7,02","42,5","75,0","0,40203562340966925","0,71","0,4641757339355368","0,63","2,6","37,1","0,92","1,68","0,08","0,08","0,8","0,71","0,08","11,8","11,8","0,0","12,8","17,2","2,9","49,3","0,17","9,37","16,7","0,04","1,39","0,29","0,13","0,0","0,0","0,0","0,29","3,49","43,0","0,51","0,34","1,64","0,68","0,8","1,98","1,05","1,47","5,46","5,38","0,39","4,23","7,0","7,0","0,84","1,67","3,28",2025-01-31,"6,0218850515947775","5,0",nan
Milutin Osmajic,Preston North End,FW,ENG II 2024,Jun 27,Left/Centre,both,"25,0","2 000,0","186,0","15,0","21,0","955,0","3,0","0,0","12,6","0,19","0,0","66,7","1,7","0,19","28,6","0,13420277660917124","0,5633074935400517","20,5","6,9","4,52","4,05","0,130958112662494","5,2","2,07","59,5","70,6","80,0","0,51864406779661","58,8","0,75","13,2","2,92","0,0","0,28","100,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,19","0,0","0,0","2,92","0,0","2,64","66,4","25,0","27,9","2,64","5,94","0,4045584045584045","0,2808607021517554","1,6","11,8","89,3","33,6","31,2","0,53","0,0","0,0","0,79","0,66","0,44","0,35","80,0","100,0","50,0","18,2","100,0","11,4","35,3","-27,74","0,56","0,0","8,11","17,6","0,28","0,56","0,85","1,0","0,0","0,48466257668711665","0,8852459016393441","0,09","2,83","0,793103448275862","6,05","0,7999999999999999","0,27","55,9","0,61","0,7894736842105263","0,12586206896551722","0,1753554502369668","81,6","83,8","1,32","0,16901408450704222","0,984251968503937","1,13","58,3","0,19","0,0","0,24778761061946905","0,66","0,0","0,38709677419354843","0,66","50,0","16,7","0,11336032388663964","16,3","0,28","1,98","1,13","1,41","3,59","0,85","0,38","0,28","0,75","0,0","0,19","30,0","5,56","2,73","0,32191780821917815","4,9","0,85","0,0","10,4","0,01","0,04","0,25","10,6","0,01","0,12","0,03","0,08","0,42","0,4","0,06","0,03","0,06","6,16","0,04","0,45","0,56","50,0","0,94","4,24","22,2","4,81","28,6","50,0","0,21119592875318066","0,19","0,31225621022377326","0,09","1,23","25,5","0,28","0,94","0,09","0,09","0,56","0,47","0,09","20,0","20,0","0,09","16,0","19,9","2,26","50,0","0,09","4,52","10,6","0,19","1,04","0,38","0,38","0,0","0,09","0,0","0,85","2,64","44,0","0,13","0,19","1,41","0,45","0,66","1,6","0,94","0,66","3,48","5,68","0,28","3,64","1,0","3,0","0,18","0,66","2,45",2025-01-31,"5,868055119082627","6,0","2 027,0"
Nahki Wells,Bristol City,FW,ENG II 2024,Jun 25,Left/Centre,right,"34,0","300,0","170,0","15,0","24,0","1 323,0","3,0","0,0","12,8","0,48","0,2","41,2","1,84","0,48","52,6","0,6255784602440051","0,842377260981912","22,3","12,8","10,5","13,1","0,5089070775156476","6,71","7,08","65,4","67,4","77,2","0,41694915254237297","48,4","1,63","16,0","7,01","0,0","0,03","100,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,34","0,0","0,0","3,2","0,0","4,15","64,8","25,5","27,1","3,47","7,14","0,39601139601139623","0,4110985277463194","1,91","21,4","85,2","44,5","41,0","0,66","0,27","14,3","1,4","1,09","1,2","0,86","72,2","69,2","0,0","28,3","100,0","12,2","18,8","7,1","0,48","0,0","12,7","25,0","0,54","0,41","1,02","0,4391080617495712","40,0","0,8404907975460123","0,6557377049180326","0,34","5,33","1,0","7,65","0,44999999999999996","0,29","32,0","0,97","0,631578947368421","0,7362068965517242","0,2701421800947867","81,4","81,5","1,63","0,3408450704225352","0,7217847769028871","1,5","59,1","0,14","50,0","0,33185840707964603","0,88","0,07","0,26774193548387093","0,95","58,3","32,2","0,702429149797571","23,5","0,2","4,08","1,91","3,27","5,13","2,18","1,02","0,68","1,16","0,7761194029850745","0,68","28,4","9,93","5,99","0,8698630136986302","8,64","0,68","0,0","14,8","0,02","0,08","0,33333333333333337","12,7","0,04","0,32","0,19","0,24","0,7","0,62","0,11","0,02","0,11","7,56","0,09","0,47","0,34","0,0","0,53","4,83","19,7","5,17","37,5","0,0","0,3409669211195929","0,2","0,24656128105111882","0,0","0,95","18,4","0,0","0,95","0,34","0,34","2,25","1,91","0,2","17,9","17,9","0,0","12,5","16,4","3,88","61,4","0,14","9,73","23,1","0,0","1,29","0,2","0,07","0,0","0,2","0,14","0,95","4,83","51,0","0,31","0,41","1,5","1,9","1,29","4,35","2,1","0,88","10,83","10,19","1,17","5,97","9,0","10,0","0,0","0,53","5,79",2025-01-31,"5,819135017865846","7,0","2 025,0"
Sinclair Armstrong,Bristol City,FW,ENG II 2024,Jun 28,Centre,right,"21,0","2 200,0","182,0","15,0","20,0","960,0","1,0","0,0","15,7","0,56","0,28","80,0","2,72","0,38","42,9","0,23012200252419013","0,6537467700258399","21,3","6,12","5,72","5,91","0,22436206066441985","6,93","3,56","73,1","73,5","80,0","0,6101694915254237","47,8","1,03","15,7","2,62","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,09","0,0","0,0","1,97","0,0","2,16","67,7","11,5","30,0","2,44","6,19","0,54985754985755","0,38844847112117775","1,78","5,26","82,6","32,2","31,4","0,0","0,0","0,0","0,28","0,09","0,37","0,28","75,0","0,0","66,7","13,0","100,0","13,1","12,5","2,88","0,28","0,0","5,66","12,5","0,28","0,28","0,75","0,6174957118353346","50,0","0,8834355828220859","0,8770491803278687","0,19","8,0","0,6551724137931033","11,2","0,39999999999999997","0,34","34,0","1,08","0,4210526315789474","0,2206896551724138","0,08530805687203796","84,1","84,6","2,34","0,5126760563380282","0,6876640419947506","2,16","52,2","0,19","50,0","0,4557522123893806","1,12","0,09","0,44516129032258067","1,22","52,0","21,4","0,5485829959514171","21,6","0,0","3,38","2,25","2,72","3,75","1,12","0,28","0,28","1,97","0,28358208955223885","0,28","20,2","7,41","4,59","0,7054794520547946","6,47","0,28","0,0","9,5","0,0","0,03","0,25","7,96","0,0","0,3","0,14","0,24","0,47","0,42","0,15","0,08","0,15","10,8","0,07","0,69","0,28","0,0","0,53","3,75","22,5","4,03","0,0","0,0","0,18575063613231557","0,0","0,09874769041264628","0,0","0,84","20,9","0,0","0,84","0,09","0,09","0,66","0,56","0,28","16,7","16,7","0,0","12,2","17,7","4,31","54,3","0,38","9,19","17,0","0,09","1,88","1,12","0,0","0,0","0,09","0,0","0,38","3,94","39,0","0,19","0,09","1,69","0,54","0,65","2,15","1,03","0,28","4,87","6,56","0,48","4,7","3,0","3,0","0,0","0,0","3,19",2025-01-31,"5,693290092950176","8,0","2 028,0"
Joel Piroe,Leeds,FW,ENG II 2024,Jun 27,Centre,left,"25,0","14 000,0","185,0","16,0","29,0","1 795,0","1,0","0,0","14,8","0,1","0,75","59,1","0,85","0,65","51,7","0,5666806899453092","0,6666666666666667","25,7","12,2","9,12","7,87","0,4992778045257583","1,95","6,07","68,8","70,0","81,4","0,5491525423728814","55,9","2,06","19,6","5,62","0,0","0,31","50,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,15","0,0","0,0","1,05","0,07","1,75","59,9","27,5","16,5","2,01","4,41","0,5754985754985755","0,17327293318233294","0,75","20,0","82,9","25,5","23,1","0,47","0,15","17,6","0,8","0,5","0,66","0,4","60,0","80,0","0,0","24,0","50,0","15,1","21,3","28,0","0,5","0,0","5,61","12,8","0,3","0,5","0,55","0,38078902229845624","21,4","0,9509202453987728","0,6557377049180326","0,7","4,7","0,9310344827586207","8,59","0,6333333333333333","0,38","22,2","0,76","0,5263157894736843","0,5689655172413793","0,3175355450236967","82,3","81,7","1,15","0,19718309859154926","0,463254593175853","1,05","33,3","0,1","0,0","0,13274336283185842","0,35","0,0","0,13870967741935486","0,35","30,4","27,9","0,39676113360323895","14,3","0,2","4,31","1,96","2,91","3,64","2,36","0,85","0,6","1,05","0,4626865671641791","0,75","20,4","7,57","3,81","0,45205479452054786","6,52","0,7","0,1","11,9","0,0","0,11","0,8333333333333335","13,2","0,02","0,42","0,17","0,25","0,73","0,61","0,15","0,04","0,15","7,81","0,11","0,61","0,75","33,3","0,39","2,56","15,7","3,31","37,5","42,9","0,1102629346904156","0,15","0,28146171217409155","0,15","0,65","19,7","0,25","0,4","0,1","0,1","0,6","0,5","0,05","20,0","20,0","0,15","10,6","15,8","3,76","56,0","0,35","5,87","16,1","0,2","1,25","0,35","0,0","0,0","0,25","0,0","1,05","5,37","47,0","0,3","0,15","0,6","0,5","1,45","4,65","2,6","0,55","8,82","10,51","1,1","6,08","8,0","12,0","0,35","0,4","4,72",2025-01-31,"5,605509525355588","9,0","2 027,0"
Mateo Joseph,Leeds,FW,ENG II 2024,Jun 28,Centre,0,"21,0","3 500,0","185,0","15,0","28,0","1 330,0","0,0","0,0","12,1","0,14","0,34","42,9","0,61","0,2","61,1","0,4152292806058056","0,7984496124031009","23,8","9,73","7,78","8,19","0,38372652864708723","8,66","5,62","72,2","75,2","75,4","0,6169491525423731","58,8","1,83","16,8","6,02","0,0","0,46","0,0","0,0","100,0","100,0","1,0","0,0","0,0","0,0","0,0","0,41","0,14","0,07","2,91","0,27","3,11","47,1","48,1","3,7","3,52","6,16","0,5925925925925926","0,41676104190260477","0,54","12,5","58,7","33,7","26,3","0,63","0,2","8,11","2,17","0,61","2,71","1,9","70,0","100,0","50,0","55,3","78,6","12,7","5,56","-18,78","0,14","0,0","9,86","19,4","0,47","0,14","0,2","0,4030874785591767","50,0","1,0","0,7049180327868851","0,54","18,0","0,9655172413793104","6,86","0,016666666666666663","0,29","28,5","2,84","0,5263157894736843","0,3551724137931035","0,4312796208530806","83,7","85,4","1,22","0,2619718309859155","0,5748031496062992","1,08","43,8","0,14","50,0","0,2079646017699115","0,47","0,07","0,3548387096774194","0,54","44,4","27,0","0,5870445344129555","17,0","0,14","3,52","1,42","2,71","3,57","2,1","0,54","0,34","1,22","0,16417910447761194","0,74","53,7","5,82","3,45","0,5410958904109588","4,74","0,27","0,14","11,1","0,0","0,04","0,25","4,62","0,01","0,32","0,16","0,21","0,65","0,56","0,1","0,04","0,1","5,22","0,06","0,41","0,95","28,6","0,58","4,4","16,9","5,35","21,4","75,0","0,30449533502968623","0,2","0,22192568261137344","0,2","1,01","19,0","0,27","0,74","0,14","0,14","0,95","0,81","0,07","16,7","16,7","0,07","12,6","19,5","3,32","55,1","0,27","7,92","16,4","0,0","1,08","0,61","0,2","0,0","0,2","0,0","0,68","5,01","42,0","1,56","0,07","0,47","0,84","1,21","3,45","2,03","1,69","7,78","10,89","0,47","3,22","3,0","5,0","0,27","0,93","3,24",2025-01-31,"5,492230170816957","10,0","2 028,0"
